anyone|任何人
prediction|预测
future|未来
pollute|污染
environment|环境
planet|行星
earth|地球；泥土
plant|种植，植物
part|参加，部分
play a part|参与（某事）
peace|和平
sea|海；海洋；许多；大量
sky|天空
astronaut|宇航员
apartment|公寓房间
rocket|火箭；
space|空间；太空
space station 太空站
human|人的；人；人类
servant|仆人
dangerous|危险的
already|已经
factory|工厂
over and over again|多次；反复地
believe|相信
disagree|不同意
even|甚至；愈加
hundreds of|许多 ；大量；成百上千
shape|形状
fall|倒塌；跌倒
fall down|突然倒下；跌倒；倒塌
inside|里面；内部；内情；内脏 里面的；内部的；秘密的 在里面 少于；在…之内
look for|寻找；寻求
possible|可能的
impossible|不可能的；不可能存在的；难以忍受的；不真实的 不可能；不可能的事
side|方面；侧面；旁边 支持；赞助；偏袒 旁的，侧的 同意，支持
probably|大概；或许；很可能
during|在…的时候，在…的期间
holiday|假日
word|单词；
shake|动摇；摇动；震动 动摇；摇动；发抖 摇动；哆嗦
milk shake|奶昔（牛奶和冰淇淋等的混合饮料）
blender|搅拌器；果汁机
turn on|接通(水、煤气、电等开关)打开
peel|剥落；削皮
pour|倒；倾倒
yogurt|酸奶；
honey|蜂蜜
watermelon|西瓜
spoon|勺，调羹
pot|壶；盆；罐 把…装罐；射击；节略 随手射击
add|增加
finally|最后，最终
salt|盐
sugar|糖
cheese|干酪，奶酪
popcorn|爆米花
corn|玉米，谷物
machine|机器
dig|挖，掘；探究 挖掘 戳，刺；挖苦
hole|洞，孔；洞穴，穴；突破口穿孔；（高尔夫球等）进洞 凿洞
sandwich|三明治
butter|黄油，奶油
turkey|火鸡
lettuce|莴苣，生菜
piece|件；篇；片；块；
Thanksgiving|感恩节
traditional|传统的
autumn|秋天；成熟期；渐衰期，凋落期 秋天的，秋季的
traveler|旅行者
England|英格兰；英国
celebrate|庆祝；庆贺
mix|配制；混淆；使混和；使结交 参与；相混合；交往 混合；混合物；混乱
pepper|胡椒粉；辣椒
fill|装满，使充满；满足；堵塞；任职 被充满，膨胀 满足；填满的量；装填物
oven|烤箱；烤炉
plate|碟；金属板；金属牌；感光底片• 电镀；给…装甲
cover|遮盖，盖子，
gravy|肉汁；肉汤
serve|接待，服务
temperature|温度，气候
prepare|预备；准备
prepare for|为……准备
exam|考试
flu|流感
available|可得到的；有空的；
another time|其他时间，别的时间
until|在…以前；直到…时 在…以前；到…为止
hang|悬挂；(使)低垂
hang out|常去某处；泡在某处
catch|赶上；抓住；捕捉
invite|邀请
accept|接受；
refuse|拒绝
the day before yesterday|前天
the day after tomorrow|后天
weekday|平日，工作日
look after|照顾，照料
invitation|邀请；邀请函
turn down|减小，关小，调低
reply|回答，回复
forward|转交；发送，向前的
delete|删除
print|印刷业；印花布；；印章；印记 印刷；打印；刊载； 印刷；
sad|难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
goodbye|再见
take a trip|去旅行
glad|高兴的；乐意的；令人高兴的；灿烂美丽的 使高兴
preparation|准备，准备工作
glue|粘合；似胶般固着于 胶；各种胶合物
without|没有；超过；在…外面 户外；在外面；没有或不显示某事物 外部；外面
surprised|感到惊讶的，出人意料的 使惊奇（surprise的过去分词形式）
look forward to|盼望，期待
hear from|收到......来信
housewarming|乔迁庆宴
opening|开幕式，落成典礼
concert|音乐会
headmaster|校长
event|大事，公开活动
guest|客人
calendar|日历，日程表
daytime|日间，白天
meeting|会议；会见；集会；汇合点 会面；会合（meet的ing形式）
video|录像，录像带
potato chips马铃薯片；油炸薯片
chocolate|巧克力
upset|难过，失望
taxi|乘出租车；滑行 使滑行；用出租车送 出租汽车
advice|劝告，建议
travel|旅行
agent|代理人，经纪人
expert|专家，能手
keep…to oneself|保守秘密
teenager|青少年
normal|正常的
unless|除非，如果不
certainly|当然，肯定
wallet|皮夹，钱包
mile|英里；一英里赛跑；较大的距离
angry|生气的，发怒的
understanding|善解人意的，体谅人的
careless|粗心的，不小心的
mistake|错误，失误
himself|他自己；他亲自，他本人
careful|小心的，细致的
advise|劝告，建议
solve|解决；解答
step|步，脚步；步骤；步伐；梯级 踏，踩；走 走，迈步
trust|相信，信任
experience|信任， 经历
in half|分成两半,一半
halfway|中途的半路地
else|别的，其他的
